,datetime,colB_mas_cercano
6576,44640.01965,44640.01976
6577,44640.02,44640.02007
6578,44640.02035,44640.02045
6579,44640.0207,44640.02076
6580,44640.02105,44640.02115
6581,44640.0214,44640.02146
6582,44640.02175,44640.02184
6583,44640.0221,44640.02215
6584,44640.02245,44640.02253
6585,44640.02315,44640.02323
6586,44640.0235,44640.023539999995
6587,44640.023839999994,44640.02392
6588,44640.02419,44640.02424
6589,44640.02454,44640.02462
6590,44640.02489,44640.02493
6591,44640.025239999995,44640.025310000005
6592,44640.02559,44640.025630000004
6593,44640.02594,44640.02601
6594,44640.026289999994,44640.02632
6595,44640.02664,44640.0267
6596,44640.02699,44640.027010000005
6597,44640.02734,44640.0274
6598,44640.02768,44640.02771
6599,44640.02803,44640.02809
6600,44640.02838,44640.0284
6601,44640.02873,44640.02878
6602,44640.02908,44640.0291
6603,44640.02943,44640.029480000005
6604,44640.029780000004,44640.02979
6605,44640.03013,44640.03017
6606,44640.03048,44640.03049
6607,44640.03083,44640.03087
6608,44640.03118,44640.03118
6609,44640.03153,44640.03156
6610,44640.03187,44640.03188
6611,44640.03222,44640.03226
6612,44640.032569999996,44640.032569999996
6613,44640.03292,44640.03295
6614,44640.03327,44640.033260000004
6615,44640.03397,44640.03396
6616,44640.03432,44640.03434
6617,44640.03467,44640.03465
6618,44640.035019999996,44640.03503
6619,44640.03537,44640.03535
6620,44640.035710000004,44640.03573
6621,44640.03641,44640.03642
6622,44640.03676,44640.036739999996
6623,44640.037110000005,44640.03712
6624,44640.03746,44640.037430000004
6625,44640.03781,44640.03781
6626,44640.038160000004,44640.03813
6627,44640.038510000006,44640.038510000006
6628,44640.03886,44640.03882
6629,44640.03921,44640.0392
6630,44640.03955,44640.03951
6631,44640.0399,44640.0399
6632,44640.04025,44640.04021
6633,44640.0406,44640.04059
6634,44640.04095,44640.0409
6635,44640.0413,44640.04128
6636,44640.04165,44640.0416
6637,44640.042,44640.04198
6638,44640.04235,44640.04229
6639,44640.0427,44640.042669999995
6640,44640.04305,44640.042989999994
6641,44640.0434,44640.04337
6642,44640.0449,44640.0449
6643,44640.04525,44640.04507
6644,44640.0456,44640.045589999994
6645,44640.04595,44640.04576
6646,44640.0463,44640.04628
6647,44640.04665,44640.046460000005
6648,44640.047,44640.04698
6649,44640.04735,44640.04753
6650,44640.04769,44640.04767
6651,44640.048039999994,44640.04785
6652,44640.048389999996,44640.04837
6653,44640.04874,44640.04892
6654,44640.04909,44640.049060000005
6655,44640.049439999995,44640.04962
6656,44640.05131,44640.05132
6657,44640.051660000005,44640.0517
6658,44640.05201,44640.05201
6659,44640.05236,44640.0524
6660,44640.05271,44640.05271
6661,44640.053060000006,44640.05309
6662,44640.05341,44640.0534
6663,44640.05376,44640.05378
6664,44640.054110000005,44640.0541
6665,44640.05445,44640.05448
6666,44640.0548,44640.054789999995
6667,44640.05515,44640.05517
6668,44640.0555,44640.05549
6669,44640.05585,44640.05587
6670,44640.0562,44640.05618
